search_stage,dataset_id,dataset_label,source_path,profile_id,family,description,preselection_method,seed,is_baseline,requested_drop_low_tail_models_quantile,requested_min_item_sd,requested_max_item_mean,requested_min_abs_point_biserial,requested_min_models_per_item,requested_min_item_coverage
portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_011_post_irt_refresh/portfolio_sources/ollb_v1_metabench_source/release_default_subset_20260405/responses_long.parquet,psychometric_default,psychometric_default,spec-aligned psychometric defaults,random_cv,7,True,0.001,0.01,0.95,0.05,40,0.8
portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_011_post_irt_refresh/portfolio_sources/ollb_v1_metabench_source/release_default_subset_20260405/responses_long.parquet,psychometric_default,psychometric_default,spec-aligned psychometric defaults,deterministic_info,7,True,0.001,0.01,0.95,0.05,40,0.8
portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_011_post_irt_refresh/portfolio_sources/ollb_v1_metabench_source/release_default_subset_20260405/responses_long.parquet,reconstruction_first,reconstruction_first,current reconstruction-first defaults,random_cv,7,False,0.002,0.0,0.99,0.0,40,0.7
portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_011_post_irt_refresh/portfolio_sources/ollb_v1_metabench_source/release_default_subset_20260405/responses_long.parquet,reconstruction_first,reconstruction_first,current reconstruction-first defaults,deterministic_info,7,False,0.002,0.0,0.99,0.0,40,0.7
portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_011_post_irt_refresh/portfolio_sources/ollb_v1_metabench_source/release_default_subset_20260405/responses_long.parquet,reconstruction_first_relaxed,reconstruction_first_relaxed,reconstruction-first without the low-tail trim,deterministic_info,7,False,0.0,0.0,0.99,0.0,40,0.7
portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_011_post_irt_refresh/portfolio_sources/ollb_v1_metabench_source/release_default_subset_20260405/responses_long.parquet,minimal_cleaning,minimal_cleaning,minimal cleaning challenger,deterministic_info,7,False,0.0,0.0,1.0,0.0,1,0.7
portfolio_optimize,openeval__hf_94f8112_20260314,OpenEval item-centered repository (Human-Centered Eval OpenEval public dataset snapshot),/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_011_post_irt_refresh/portfolio_sources/openeval/hf_94f8112_20260314/responses_long.parquet,psychometric_default,psychometric_default,spec-aligned psychometric defaults,random_cv,7,True,0.001,0.01,0.95,0.05,15,0.8
portfolio_optimize,openeval__hf_94f8112_20260314,OpenEval item-centered repository (Human-Centered Eval OpenEval public dataset snapshot),/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_011_post_irt_refresh/portfolio_sources/openeval/hf_94f8112_20260314/responses_long.parquet,psychometric_default,psychometric_default,spec-aligned psychometric defaults,deterministic_info,7,True,0.001,0.01,0.95,0.05,15,0.8
portfolio_optimize,openeval__hf_94f8112_20260314,OpenEval item-centered repository (Human-Centered Eval OpenEval public dataset snapshot),/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_011_post_irt_refresh/portfolio_sources/openeval/hf_94f8112_20260314/responses_long.parquet,reconstruction_first,reconstruction_first,current reconstruction-first defaults,random_cv,7,False,0.002,0.0,0.99,0.0,15,0.7
portfolio_optimize,openeval__hf_94f8112_20260314,OpenEval item-centered repository (Human-Centered Eval OpenEval public dataset snapshot),/Users/jeremykalfus/CodingProjects/BenchIQ/reports/portfolio_optimization_cycles/cycle_011_post_irt_refresh/portfolio_sources/openeval/hf_94f8112_20260314/responses_long.parquet,reconstruction_first,reconstruction_first,current reconstruction-first defaults,deterministic_info,7,False,0.002,0.0,0.99,0.0,15,0.7
